# round	mode	threads	workers	kind	index	value_us	collections
1	checked	1	0	reset	139	28.083	0
1	checked	1	0	reset	140	27.281	0
1	checked	1	0	reset	141	29.887	0
1	checked	1	0	reset	142	27.312	0
1	checked	1	0	reset	143	27.361	0
1	checked	1	0	reset	144	27.231	0
1	checked	1	0	reset	145	27.512	0
1	checked	1	0	reset	146	27.222	0
1	checked	1	0	reset	147	27.432	0
1	checked	1	0	reset	148	26.981	0
1	checked	1	0	reset	149	27.431	0
1	checked	1	0	reset	150	29.976	0
1	checked	1	0	reset	151	27.472	0
1	checked	1	0	reset	152	27.231	0
1	checked	1	0	reset	153	27.371	0
1	checked	1	0	reset	154	27.252	0
1	checked	1	0	reset	155	27.331	0
1	checked	1	0	reset	156	27.252	0
1	checked	1	0	reset	157	27.431	0
1	checked	1	0	reset	158	27.352	0
1	checked	1	0	reset	159	27.873	0
1	checked	1	0	reset	160	27.241	0
1	checked	1	0	reset	161	28.003	0
1	checked	1	0	reset	162	27.652	0
1	checked	1	0	reset	163	28.073	0
1	checked	1	0	reset	164	27.431	0
1	checked	1	0	reset	165	27.673	0
1	checked	1	0	reset	166	27.451	0
1	checked	1	0	reset	167	27.643	0
1	checked	1	0	reset	168	27.442	0
1	checked	1	0	reset	169	27.973	0
1	checked	1	0	reset	170	27.462	0
1	checked	1	0	reset	171	27.522	0
1	checked	1	0	reset	172	27.592	0
1	checked	1	0	reset	173	28.023	0
1	checked	1	0	reset	174	27.632	0
1	checked	1	0	reset	175	27.692	0
1	checked	1	0	reset	176	27.642	0
1	checked	1	0	reset	177	28.003	0
1	checked	1	0	reset	178	34.706	0
1	checked	1	0	reset	179	27.943	0
1	checked	1	0	reset	180	29.355	0
1	checked	1	0	reset	181	27.663	0
1	checked	1	0	reset	182	27.592	0
1	checked	1	0	reset	183	27.532	0
1	checked	1	0	reset	184	27.221	0
1	checked	1	0	reset	185	27.382	0
1	checked	1	0	reset	186	27.232	0
1	checked	1	0	reset	187	27.362	0
1	checked	1	0	reset	188	27.342	0
1	checked	1	0	reset	189	27.361	0
1	checked	1	0	reset	190	27.311	0
1	checked	1	0	reset	191	27.412	0
1	checked	1	0	reset	192	27.331	0
1	checked	1	0	reset	193	29.826	0
1	checked	1	0	reset	194	27.982	0
1	checked	1	0	reset	195	27.632	0
1	checked	1	0	reset	196	27.532	0
1	checked	1	0	reset	197	27.753	0
1	checked	1	0	reset	198	27.332	0
1	checked	1	0	reset	199	27.732	0
1	checked	1	0	reset	200	27.552	0
1	unsafe	1	0	reset	1	0.15	0
1	unsafe	1	0	reset	2	0.14	0
1	unsafe	1	0	reset	3	0.07	0
1	unsafe	1	0	reset	4	0.08	0
1	unsafe	1	0	reset	5	0.101	0
1	unsafe	1	0	reset	6	0.06	0
1	unsafe	1	0	reset	7	0.12	0
1	unsafe	1	0	reset	8	0.08	0
1	unsafe	1	0	reset	9	0.1	0
1	unsafe	1	0	reset	10	0.091	0
1	unsafe	1	0	reset	11	0.07	0
1	unsafe	1	0	reset	12	0.07	0
1	unsafe	1	0	reset	13	0.07	0
1	unsafe	1	0	reset	14	0.08	0
1	unsafe	1	0	reset	15	0.07	0
1	unsafe	1	0	reset	16	0.09	0
1	unsafe	1	0	reset	17	0.08	0
1	unsafe	1	0	reset	18	0.1	0
1	unsafe	1	0	reset	19	0.081	0
1	unsafe	1	0	reset	20	0.07	0
1	unsafe	1	0	reset	21	0.081	0
1	unsafe	1	0	reset	22	0.091	0
1	unsafe	1	0	reset	23	0.14	0
1	unsafe	1	0	reset	24	0.08	0
1	unsafe	1	0	reset	25	0.09	0
1	unsafe	1	0	reset	26	0.101	0
1	unsafe	1	0	reset	27	0.1	0
1	unsafe	1	0	reset	28	0.09	0
1	unsafe	1	0	reset	29	0.08	0
1	unsafe	1	0	reset	30	0.09	0
1	unsafe	1	0	reset	31	0.081	0
1	unsafe	1	0	reset	32	0.08	0
1	unsafe	1	0	reset	33	0.081	0
1	unsafe	1	0	reset	34	0.08	0
1	unsafe	1	0	reset	35	0.07	0
1	unsafe	1	0	reset	36	0.08	0
1	unsafe	1	0	reset	37	0.1	0
1	unsafe	1	0	reset	38	0.08	0
