# variant	K	W	B	every	events	collections	stw_us	mark_us	sweep_us	live_cells	freed_cells	pause_p50_ms	pause_max_ms	wall_s	events_per_s	p50_ns	p99_ns	p999_ns	p9999_ns	max_ns	max_clean_ns	over_100us	switches	page_faults	stock_collections	peak_rss_mb
auto	10000	200	100	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.768194994	6.508764101631206e6	81	391	521	762	3348376	3348376	325	3	0	325	1657.438208
sched	10000	200	100	100000	5000000	50	NA	NA	NA	NA	NA	0.188656	3.049222	0.757276979	6.6026039859320745e6	71	381	521	932	3173476	3173476	364	4	0	366	1657.372672
real	10000	200	100	100000	5000000	50	0.0608	27.979020000000002	4.80788	10002	100400	0.032372	0.052248	0.357643616	1.3980397737618221e7	50	80	90	171	56346	56346	0	0	0	NA	1617.813504
real	10000	200	100	0	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.348367237	1.4352670024477646e7	50	80	91	291	15139	15139	0	0	0	NA	1617.924096
auto	10000	3	1000	100000	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.299248633	1.670851408701339e7	40	50	110	241	3640437	3640437	37	0	0	37	1674.141696
sched	10000	3	1000	100000	5000000	50	NA	NA	NA	NA	NA	0.279808	3.078177	0.304695969	1.640980028849676e7	40	50	80	171	3078267	3078267	50	0	0	51	1657.348096
real	10000	3	1000	100000	5000000	50	0.05214	25.82806	4.74994	10002	100400	0.030217	0.04819	0.311918784	1.6029813709455855e7	40	51	71	120	52219	52219	0	0	0	NA	1617.79712
real	10000	3	1000	0	5000000	0	NA	NA	NA	NA	NA	NA	NA	0.309432845	1.6158594928731628e7	40	51	110	270	12553	12553	0	0	0	NA	1617.780736
