# set	bench	threads	binary	round	wall_ns
serial	strings/strings.jl	1	regions	6	18706792118
serial	bigint/pollard.jl	1	vanilla	6	653119155
serial	bigint/pollard.jl	1	regions	6	702605521
serial	big_arrays/single_ref.jl	1	vanilla	6	273320086
serial	big_arrays/single_ref.jl	1	regions	6	274117250
serial	big_arrays/many_refs.jl	1	vanilla	6	1733994268
serial	big_arrays/many_refs.jl	1	regions	6	1792883681
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	6	1710507314
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	6	1729342804
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	6	594969946
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	6	596107883
multithreaded	big_arrays/issue-52937.jl	4	vanilla	6	9496675288
multithreaded	big_arrays/issue-52937.jl	4	regions	6	9525617832
serial	linked/tree.jl	1	vanilla	7	8798944282
serial	linked/tree.jl	1	regions	7	8897808420
serial	strings/strings.jl	1	vanilla	7	18585031921
serial	strings/strings.jl	1	regions	7	18534696783
serial	bigint/pollard.jl	1	vanilla	7	652689114
serial	bigint/pollard.jl	1	regions	7	696211138
serial	big_arrays/single_ref.jl	1	vanilla	7	271149572
serial	big_arrays/single_ref.jl	1	regions	7	273739226
serial	big_arrays/many_refs.jl	1	vanilla	7	1732524735
serial	big_arrays/many_refs.jl	1	regions	7	1792364756
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	7	1676635040
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	7	1704918101
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	7	585786884
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	7	603650561
multithreaded	big_arrays/issue-52937.jl	4	vanilla	7	9454313290
multithreaded	big_arrays/issue-52937.jl	4	regions	7	9491196112
serial	append/append.jl	1	vanilla	8	762168234
serial	append/append.jl	1	regions	8	780726050
serial	linked/tree.jl	1	vanilla	8	8943720104
serial	linked/tree.jl	1	regions	8	9015361752
serial	strings/strings.jl	1	vanilla	8	19007335185
serial	strings/strings.jl	1	regions	8	18734648166
serial	bigint/pollard.jl	1	vanilla	8	655418291
serial	bigint/pollard.jl	1	regions	8	702176110
serial	big_arrays/single_ref.jl	1	vanilla	8	272476194
serial	big_arrays/single_ref.jl	1	regions	8	274047689
serial	big_arrays/many_refs.jl	1	vanilla	8	1732214200
serial	big_arrays/many_refs.jl	1	regions	8	1788056005
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	8	1687830268
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	8	1752859323
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	8	608549342
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	8	604447115
multithreaded	big_arrays/issue-52937.jl	4	vanilla	8	9438029053
multithreaded	big_arrays/issue-52937.jl	4	regions	8	9495989534
serial	append/append.jl	1	regions	9	788040918
serial	linked/tree.jl	1	vanilla	9	8919360534
serial	linked/tree.jl	1	regions	9	9010842668
serial	strings/strings.jl	1	vanilla	9	18828065657
serial	strings/strings.jl	1	regions	9	18589173032
serial	bigint/pollard.jl	1	vanilla	9	652910680
serial	bigint/pollard.jl	1	regions	9	695826152
serial	big_arrays/single_ref.jl	1	vanilla	9	272482806
serial	big_arrays/single_ref.jl	1	regions	9	273551914
serial	big_arrays/many_refs.jl	1	vanilla	9	1732937694
serial	big_arrays/many_refs.jl	1	regions	9	1790747402
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	9	1699427444
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	9	1695741872
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	9	591546879
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	9	602066233
multithreaded	big_arrays/issue-52937.jl	4	vanilla	9	9502831349
multithreaded	big_arrays/issue-52937.jl	4	regions	9	9555012870
serial	append/append.jl	1	regions	10	787859966
serial	linked/tree.jl	1	vanilla	10	8809688123
serial	linked/tree.jl	1	regions	10	8826841905
serial	strings/strings.jl	1	vanilla	10	18623060585
serial	strings/strings.jl	1	regions	10	18597725424
serial	bigint/pollard.jl	1	vanilla	10	649068573
serial	bigint/pollard.jl	1	regions	10	698067030
serial	big_arrays/single_ref.jl	1	vanilla	10	276546061
serial	big_arrays/single_ref.jl	1	regions	10	275720835
serial	big_arrays/many_refs.jl	1	vanilla	10	1730430626
serial	big_arrays/many_refs.jl	1	regions	10	1790332158
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	10	1751024242
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	10	1676840698
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	10	608689636
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	10	597221775
multithreaded	big_arrays/issue-52937.jl	4	vanilla	10	9452911373
multithreaded	big_arrays/issue-52937.jl	4	regions	10	9599231561
