# variant	events	W	census_every	wall_s	events_per_s	censuses	census_p50_ms	census_max_ms	cells_freed	peak_rss_mb
region	5000000	3	100000	0.084720258	5.901776172589087e7	50	0.003256	0.009257	7500027	281.071616
stock	5000000	3	100000	0.083247451	6.006189907244127e7	NA	NA	NA	NA	270.229504
cpp	5000000	3	NA	0.074413427	67192174.9	NA	NA	NA	NA	3.856
region	5000000	200	100000	0.160863959	3.1082164277704988e7	50	0.012243	0.016471	7500027	303.628288
stock	5000000	200	100000	0.194485699	2.570883116706694e7	NA	NA	NA	NA	295.272448
cpp	5000000	200	NA	0.13285772	37634245.1	NA	NA	NA	NA	3.836
