# set	bench	threads	binary	round	wall_ns
serial	bigint/pollard.jl	1	regions	6	692115063
serial	big_arrays/single_ref.jl	1	vanilla	6	271917166
serial	big_arrays/single_ref.jl	1	regions	6	275557254
serial	big_arrays/many_refs.jl	1	vanilla	6	1735975086
serial	big_arrays/many_refs.jl	1	regions	6	1776190719
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	6	1733398976
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	6	1705230784
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	6	589922113
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	6	611942086
multithreaded	big_arrays/issue-52937.jl	4	vanilla	6	9442172893
multithreaded	big_arrays/issue-52937.jl	4	regions	6	9511821404
serial	append/append.jl	1	regions	7	772033609
serial	linked/tree.jl	1	vanilla	7	8589233205
serial	linked/tree.jl	1	regions	7	8644944070
serial	strings/strings.jl	1	vanilla	7	18707904308
serial	strings/strings.jl	1	regions	7	18624831611
serial	bigint/pollard.jl	1	vanilla	7	648494697
serial	bigint/pollard.jl	1	regions	7	689405190
serial	big_arrays/single_ref.jl	1	vanilla	7	272464048
serial	big_arrays/single_ref.jl	1	regions	7	274090667
serial	big_arrays/many_refs.jl	1	vanilla	7	1732078736
serial	big_arrays/many_refs.jl	1	regions	7	1778834115
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	7	1668724199
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	7	1723834342
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	7	611898564
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	7	623050514
multithreaded	big_arrays/issue-52937.jl	4	vanilla	7	9537137656
multithreaded	big_arrays/issue-52937.jl	4	regions	7	9539870493
serial	append/append.jl	1	vanilla	8	764491600
serial	append/append.jl	1	regions	8	786146144
serial	linked/tree.jl	1	vanilla	8	8813072766
serial	linked/tree.jl	1	regions	8	8817379742
serial	strings/strings.jl	1	vanilla	8	19041628450
serial	strings/strings.jl	1	regions	8	18685871690
serial	bigint/pollard.jl	1	vanilla	8	651637937
serial	bigint/pollard.jl	1	regions	8	706690531
serial	big_arrays/single_ref.jl	1	vanilla	8	273309192
serial	big_arrays/single_ref.jl	1	regions	8	274996966
serial	big_arrays/many_refs.jl	1	vanilla	8	1733172148
serial	big_arrays/many_refs.jl	1	regions	8	1774521960
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	8	1732854148
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	8	1764208613
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	8	603894944
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	8	616417640
multithreaded	big_arrays/issue-52937.jl	4	vanilla	8	9385798516
multithreaded	big_arrays/issue-52937.jl	4	regions	8	9501216887
serial	append/append.jl	1	vanilla	9	765612254
serial	append/append.jl	1	regions	9	775300913
serial	linked/tree.jl	1	vanilla	9	8586008692
serial	linked/tree.jl	1	regions	9	8650879448
serial	strings/strings.jl	1	vanilla	9	18487055048
serial	strings/strings.jl	1	regions	9	18728141508
serial	bigint/pollard.jl	1	vanilla	9	652856597
serial	bigint/pollard.jl	1	regions	9	746073051
serial	big_arrays/single_ref.jl	1	vanilla	9	270576106
serial	big_arrays/single_ref.jl	1	regions	9	280271247
serial	big_arrays/many_refs.jl	1	vanilla	9	1737692357
serial	big_arrays/many_refs.jl	1	regions	9	1772176576
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	9	1685051643
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	9	1726202830
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	9	605238349
