# set	bench	threads	binary	round	wall_ns
serial	strings/strings.jl	1	vanilla	6	18425614019
serial	strings/strings.jl	1	regions	6	18640312087
serial	bigint/pollard.jl	1	vanilla	6	654792389
serial	bigint/pollard.jl	1	regions	6	694798714
serial	big_arrays/single_ref.jl	1	vanilla	6	267787406
serial	big_arrays/single_ref.jl	1	regions	6	273900058
serial	big_arrays/many_refs.jl	1	vanilla	6	1728890477
serial	big_arrays/many_refs.jl	1	regions	6	1735504305
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	6	1666775371
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	6	1681913430
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	6	605495054
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	6	593759033
multithreaded	big_arrays/issue-52937.jl	4	vanilla	6	9331904125
multithreaded	big_arrays/issue-52937.jl	4	regions	6	9411353817
serial	append/append.jl	1	regions	7	781577761
serial	linked/tree.jl	1	vanilla	7	8721534556
serial	linked/tree.jl	1	regions	7	8785724357
serial	strings/strings.jl	1	vanilla	7	18743548682
serial	strings/strings.jl	1	regions	7	18780512699
serial	bigint/pollard.jl	1	vanilla	7	655880912
serial	bigint/pollard.jl	1	regions	7	694599989
serial	big_arrays/single_ref.jl	1	vanilla	7	273533246
serial	big_arrays/single_ref.jl	1	regions	7	274032909
serial	big_arrays/many_refs.jl	1	vanilla	7	1736993624
serial	big_arrays/many_refs.jl	1	regions	7	1735572022
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	7	1702867813
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	7	1634738620
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	7	590908225
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	7	612291356
multithreaded	big_arrays/issue-52937.jl	4	vanilla	7	9456721106
multithreaded	big_arrays/issue-52937.jl	4	regions	7	9470526191
serial	append/append.jl	1	regions	8	767540588
serial	linked/tree.jl	1	vanilla	8	8706070192
serial	linked/tree.jl	1	regions	8	8825111104
serial	strings/strings.jl	1	vanilla	8	18583398443
serial	strings/strings.jl	1	regions	8	18537949450
serial	bigint/pollard.jl	1	vanilla	8	652616323
serial	bigint/pollard.jl	1	regions	8	685858778
serial	big_arrays/single_ref.jl	1	vanilla	8	272586421
serial	big_arrays/single_ref.jl	1	regions	8	273824085
serial	big_arrays/many_refs.jl	1	vanilla	8	1731249878
serial	big_arrays/many_refs.jl	1	regions	8	1738355654
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	8	1693421281
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	8	1675887531
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	8	591794717
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	8	610462535
multithreaded	big_arrays/issue-52937.jl	4	vanilla	8	9508916468
multithreaded	big_arrays/issue-52937.jl	4	regions	8	9441472779
serial	append/append.jl	1	regions	9	776785159
serial	linked/tree.jl	1	vanilla	9	8573032724
serial	linked/tree.jl	1	regions	9	8657090937
serial	strings/strings.jl	1	vanilla	9	18266701975
serial	strings/strings.jl	1	regions	9	18325138923
serial	bigint/pollard.jl	1	vanilla	9	663412682
serial	bigint/pollard.jl	1	regions	9	680829109
serial	big_arrays/single_ref.jl	1	vanilla	9	275838226
serial	big_arrays/single_ref.jl	1	regions	9	274018482
serial	big_arrays/many_refs.jl	1	vanilla	9	1738284259
serial	big_arrays/many_refs.jl	1	regions	9	1736087234
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	9	1648645086
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	9	1715179710
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	9	597323308
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	9	610495317
multithreaded	big_arrays/issue-52937.jl	4	vanilla	9	9544525488
multithreaded	big_arrays/issue-52937.jl	4	regions	9	9502063857
serial	linked/tree.jl	1	vanilla	10	8740647135
serial	linked/tree.jl	1	regions	10	8673758753
serial	strings/strings.jl	1	vanilla	10	18560006112
serial	strings/strings.jl	1	regions	10	18417375696
serial	bigint/pollard.jl	1	vanilla	10	648557685
serial	bigint/pollard.jl	1	regions	10	692672874
serial	big_arrays/single_ref.jl	1	vanilla	10	270687759
serial	big_arrays/single_ref.jl	1	regions	10	274888003
serial	big_arrays/many_refs.jl	1	vanilla	10	1739470908
serial	big_arrays/many_refs.jl	1	regions	10	1736804007
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	10	1710126926
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	10	1684901357
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	10	610955486
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	10	593342277
multithreaded	big_arrays/issue-52937.jl	4	vanilla	10	9483837644
multithreaded	big_arrays/issue-52937.jl	4	regions	10	9413458538
