# variant	events	W	census_every	wall_s	events_per_s	censuses	census_p50_ms	census_max_ms	cells_freed	peak_rss_mb
region	5000000	3	100000	0.081298174	6.150199634250088e7	50	0.003016	0.008035	7499977	252.571648
stock	5000000	3	100000	0.082390205	6.06868255759286e7	NA	NA	NA	NA	278.933504
cpp	5000000	3	NA	0.071742298	69693892.4	NA	NA	NA	NA	3.82
region	5000000	200	100000	0.157403126	3.176556989090547e7	50	0.01067	0.013846	7499977	277.225472
stock	5000000	200	100000	0.153574279	3.2557535236743648e7	NA	NA	NA	NA	279.670784
cpp	5000000	200	NA	0.118574319	42167646.8	NA	NA	NA	NA	3.8
