# variant	events	latency_p50_ns	latency_p999_ns	latency_max_ns	lateness_p999_ns	lateness_max_ns	slot_misses	gc_events	gc_ms
baseline	1000000	70	661	5588408	1385	5588463	122	2	10.310121
regions	1000000	81	271	11401	691	92453	0	0	0.0
