# demo	point	threads	mode	wall_ms	collections	gc_ms	peak_rss_mb
D	work=0     (grid 16, work=0, 4 threads)	4	region	36.434337	0	0.0	286.0
D	work=0     (grid 16, work=0, 4 threads)	4	stock	36.932116	0	0.0	285.99609375
D	work=512   (grid 16, work=512, 4 threads)	4	region	36.294614	0	0.0	296.5390625
D	work=512   (grid 16, work=512, 4 threads)	4	stock	37.259214	4	2.232835	296.46484375
D	work=2048  (grid 16, work=2048, 4 threads)	4	region	38.366614	0	0.0	296.6796875
D	work=2048  (grid 16, work=2048, 4 threads)	4	stock	45.695156	26	8.02784	301.73046875
