# script	variant	events	p50_ns	p99_ns	p999_ns	p9999_ns	max_ns	over_100us	gc_events	gc_ms	peak_rss_mb
yardstick	alloc	20000000	70	90	631	1002	14338374	18	12	17.218779	1024.802816
yardstick	pooled	20000000	70	81	100	1954	203704	8	0	0.0	832.135168
tail	baseline	20000000	60	81	531	1533	2767153	27	16	11.000814	888.119296
tail	regions	20000000	70	101	120	1413	164982	3	0	0.0	970.817536
